"Jahr";"Ebene";"kkname";"kkkoe";"kgname";"kgkoe";"ggfest";"dggfest";"gg";"dgg";"ggfr";"gg13";"gg14";"gg15";"ggzug";"gebu";"einwohn"
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Jakobus";"1902208";2248;-3.77;2251;-3.51;1339;12;8;17;144;24;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Jakobus";"1902208";2180;-3.02;2181;-3.11;1280;8;14;8;141;31;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Jakobus";"1902208";2151;-1.33;2150;-1.42;1260;13;10;15;129;17;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Jakobus";"1902208";2053;-4.56;2052;-4.56;1204;11;14;9;121;24;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Jakobus";"1902208";1978;-3.65;1977;-3.65;1156;11;11;14;120;27;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Lydia";"1902210";6750;;6719;;3736;32;38;49;109;49;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Lydia";"1902210";6667;-1.23;6667;-0.77;3711;27;33;36;125;45;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Lydia";"1902210";6579;-1.32;6570;-1.45;3654;27;27;31;127;37;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Lydia";"1902210";6483;-1.46;6490;-1.22;3638;31;27;27;107;64;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Lydia";"1902210";6377;-1.64;6381;-1.68;3582;38;33;31;155;74;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Lydia";"1902210";6136;-3.78;6134;-3.87;3473;40;39;37;179;61;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Lydia";"1902210";5993;-2.33;5993;-2.30;3394;35;42;41;194;71;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Lydia";"1902210";5802;-3.19;5793;-3.34;3288;31;40;43;194;66;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Markus";"1902213";4582;;4561;;2600;27;41;50;314;32;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Markus";"1902213";4461;-2.64;4461;-2.19;2539;29;31;47;317;33;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Markus";"1902213";4314;-3.30;4308;-3.43;2465;25;29;31;328;17;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Markus";"1902213";4290;-0.56;4295;-0.30;2424;25;30;29;343;35;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Markus";"1902213";4167;-2.87;4169;-2.93;2341;33;27;28;370;39;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Markus";"1902213";4072;-2.28;4071;-2.35;2306;26;36;29;419;38;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Markus";"1902213";3954;-2.90;3956;-2.82;2239;34;28;39;420;37;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Markus";"1902213";3854;-2.53;3856;-2.53;2172;34;37;30;406;39;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Martini-Gadderbaum";"1902214";2891;;2878;;1646;32;39;48;305;21;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Martini-Gadderbaum";"1902214";2826;-2.25;2826;-1.81;1623;31;37;45;328;11;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Martini-Gadderbaum";"1902214";2789;-1.31;2785;-1.45;1604;35;31;36;336;9;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Martini-Gadderbaum";"1902214";2815;0.93;2818;1.18;1622;29;42;33;320;24;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Martini-Gadderbaum";"1902214";2778;-1.31;2780;-1.35;1603;28;31;45;357;30;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Martini-Gadderbaum";"1902214";2730;-1.73;2729;-1.83;1578;24;34;37;381;32;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Martini-Gadderbaum";"1902214";2690;-1.47;2691;-1.39;1537;35;25;35;394;22;
2021;"Kirchengemeinden";"Bielefeld";"19022";"KG Martini-Gadderbaum";"1902214";2631;-2.19;2632;-2.19;1513;30;40;28;392;24;
2014;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Paulus";"1902218";3706;;3689;;1996;12;15;15;285;23;
2015;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Paulus";"1902218";3654;-1.40;3654;-0.95;1975;15;13;15;298;18;
2016;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Paulus";"1902218";3626;-0.77;3621;-0.90;1970;10;15;11;297;17;
2017;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Paulus";"1902218";3639;0.36;3643;0.61;2000;9;10;9;237;36;
2018;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Paulus";"1902218";3550;-2.45;3552;-2.50;1942;11;10;11;299;32;
2019;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Paulus";"1902218";3394;-4.39;3393;-4.48;1865;10;11;11;333;39;
2020;"Kirchengemeinden";"Bielefeld";"19022";"KG Bielefeld-Paulus";"1902218";3311;-2.45;3309;-2.48;1810;9;9;11;341;29;
