"kgkoe";"ggfest";"dggfest"
"1902326";3.478;-3,12
"1902326";3.400;-2,24
"1902326";3.308;-2,71
"1902328";6.025;-2,33
"1902328";5.856;-2,80
"1902328";5.851;-0,09
"1902328";5.690;-2,75
"1902328";5.569;-2,13
"1902328";5.419;-2,69
"1902328";5.222;-3,64
"1902329";5.528;-2,23
"1902329";5.384;-2,60
"1902329";5.294;-1,67
"1902329";5.165;-2,44
"1902329";4.970;-3,78
"1902329";4.825;-2,92
"1902329";4.695;-2,69
"1902330";6.476;-1,92
"1902330";6.328;-2,29
"1902330";6.237;-1,44
"1902330";6.107;-2,08
"1902330";5.966;-2,31
"1902330";5.866;-1,68
"1902330";5.790;-1,30
"1902331";14.330;-1,84
"1902331";14.078;-1,76
"1902331";13.946;-0,94
"1902331";13.562;-2,75
"1902331";13.266;-2,18
"1902331";12.899;-2,77
"1902331";12.552;-2,69
"1902332";6.638;-1,89
"1902332";6.446;-2,89
"1902332";6.346;-1,55
"1902332";6.201;-2,28
"1902332";6.040;-2,60
"1902332";5.862;-2,95
"1902332";5.668;-3,31
"1902501";3.628;-1,65
"1902501";3.605;-0,63
"1902501";3.553;-1,44
"1902501";3.522;-0,87
"1902501";3.432;-2,56
"1902501";3.418;-0,41
"1902501";3.329;-2,60
"1902502";4.091;-1,56
"1902502";3.989;-2,49
"1902502";3.910;-1,98
"1902502";3.802;-2,76
"1902502";3.753;-1,29
"1902502";3.655;-2,61
"1902502";3.534;-3,31
"1902503";8.105;-1,09
"1902503";8.089;-0,20
"1902503";7.845;-3,02
"1902503";7.687;-2,01
"1902503";7.492;-2,54
"1902503";7.265;-3,03
"1902503";7.039;-3,11
"1902504";5.533;-2,00
"1902504";5.442;-1,64
"1902504";5.283;-2,92
"1902504";5.153;-2,46
"1902504";5.011;-2,76
"1902504";4.851;-3,19
"1902504";4.711;-2,89
"1902505";4.123;-1,25
"1902505";4.105;-0,44
"1902505";4.050;-1,34
"1902505";3.979;-1,75
"1902505";3.961;-0,45
"1902505";3.949;-0,30
"1902505";3.930;-0,48
"1902506";11.506;-1,84
"1902506";11.290;-1,88
"1902506";10.752;-4,77
"1902506";10.726;-0,24
"1902506";10.425;-2,81
"1902506";10.110;-3,02
"1902506";9.813;-2,94
"1902507";9.750;-2,40
"1902507";9.653;-0,99
"1902507";9.252;-4,15
"1902507";9.274;0,24
"1902507";9.058;-2,33
"1902507";8.838;-2,43
"1902507";8.595;-2,75
"1902508";10.134;-2,50
"1902508";9.950;-1,82
"1902508";9.591;-3,61
"1902508";9.428;-1,70
"1902508";9.157;-2,87
"1902508";8.929;-2,49
"1902508";8.656;-3,06
"1902509";10.940;0,08
"1902509";10.711;-2,09
"1902509";10.234;-4,45
"1902509";10.085;-1,46
"1902509";9.749;-3,33
"1902509";9.476;-2,80
"1902509";9.198;-2,93
"1902510";11.196;-1,59
"1902510";11.065;-1,17
"1902510";10.434;-5,70
"1902510";10.494;0,58
"1902510";10.287;-1,97
"1902510";9.994;-2,85
"1902510";9.687;-3,07
"1902511";6.482;-1,28
"1902511";6.358;-1,91
"1902511";6.264;-1,48
"1902511";6.154;-1,76
"1902511";6.006;-2,40
"1902511";5.818;-3,13
"1902511";5.615;-3,49
"1902512";7.792;-2,22
"1902512";7.613;-2,30
"1902512";7.433;-2,36
"1902512";7.322;-1,49
"1902512";7.181;-1,93
"1902512";6.996;-2,58
"1902512";6.774;-3,17
"1902515";13.477;-1,79
"1902515";13.405;-0,53
